"goal","dimension","region_id","score","region_label"
"MAR","score",3,,"Norfolk Island"
"MAR","score",4,,"Macquarie Island"
"MAR","score",5,16.48,"New Caledonia"
"MAR","score",6,0.2,"Vanuatu"
"MAR","score",7,0,"Solomon Islands"
"MAR","score",8,2.21,"Palau"
"MAR","score",9,0,"Micronesia"
"MAR","score",10,0,"Nauru"
"MAR","score",11,,"Marshall Islands"
"MAR","score",12,,"Wake Island"
"MAR","score",13,0.44,"Northern Mariana Islands and Guam"
"MAR","score",14,32.78,"Taiwan"
"MAR","score",15,13.15,"Philippines"
"MAR","score",16,13.81,"Australia"
"MAR","score",17,0.03,"Papua New Guinea"
"MAR","score",18,0.03,"Fiji"
"MAR","score",19,0.34,"Tuvalu"
"MAR","score",20,56.86,"South Korea"
"MAR","score",21,14.15,"North Korea"
"MAR","score",24,9.72,"Cambodia"
"MAR","score",25,91.62,"Thailand"
"MAR","score",26,,"Andaman and Nicobar"
"MAR","score",28,,"Comoro Islands"
"MAR","score",29,1.06,"Mayotte"
"MAR","score",30,,"Glorioso Islands"
"MAR","score",31,0,"Seychelles"
"MAR","score",32,0.23,"R_union"
"MAR","score",33,,"Juan de Nova Island"
"MAR","score",34,,"Bassas da India"
"MAR","score",35,,"Ile Europa"
"MAR","score",36,,"Ile Tromelin"
"MAR","score",37,0.97,"Mauritius"
"MAR","score",38,,"British Indian Ocean Territory"
"MAR","score",39,,"Maldives"
"MAR","score",40,0.2,"Sri Lanka"
"MAR","score",41,0.17,"Mozambique"
"MAR","score",42,1.14,"Madagascar"
"MAR","score",43,0,"Kenya"
"MAR","score",44,,"Somalia"
"MAR","score",45,,"Eritrea"
"MAR","score",46,,"Djibouti"
"MAR","score",47,,"Yemen"
"MAR","score",48,0.16,"Oman"
"MAR","score",49,,"Sudan"
"MAR","score",50,19.36,"Saudi Arabia"
"MAR","score",51,0.05,"Kuwait"
"MAR","score",52,0.01,"Bahrain"
"MAR","score",53,0.01,"Pakistan"
"MAR","score",54,0.11,"United Arab Emirates"
"MAR","score",55,,"Azores"
"MAR","score",56,,"Cape Verde"
"MAR","score",57,,"Madeira"
"MAR","score",58,,"Canary Islands"
"MAR","score",59,,"Belgium"
"MAR","score",60,,"Gibraltar"
"MAR","score",61,2.27,"Tunisia"
"MAR","score",62,0.1,"Morocco"
"MAR","score",63,,"Western Sahara"
"MAR","score",64,,"Mauritania"
"MAR","score",65,0.08,"Gambia"
"MAR","score",66,0.07,"Senegal"
"MAR","score",67,0.18,"Libya"
"MAR","score",68,16.63,"Malta"
"MAR","score",69,,"Latvia"
"MAR","score",70,0,"Estonia"
"MAR","score",71,4.57,"Bulgaria"
"MAR","score",72,,"Romania"
"MAR","score",73,2.84,"Russia"
"MAR","score",74,,"Georgia"
"MAR","score",75,0.27,"Ukraine"
"MAR","score",76,9.7,"Turkey"
"MAR","score",77,,"Syria"
"MAR","score",78,,"Lebanon"
"MAR","score",79,0.7,"Israel"
"MAR","score",80,32.04,"Greece"
"MAR","score",81,13.86,"Cyprus"
"MAR","score",82,4.21,"Albania"
"MAR","score",84,0.03,"Algeria"
"MAR","score",85,,"Ascension"
"MAR","score",86,,"Saint Helena"
"MAR","score",88,,"Tristan da Cunha"
"MAR","score",89,,"South Georgia and the South Sandwich Islands"
"MAR","score",90,,"Prince Edward Islands"
"MAR","score",91,,"Crozet Islands"
"MAR","score",92,,"Amsterdam Island and Saint Paul Island"
"MAR","score",93,,"Kerguelen Islands"
"MAR","score",94,,"Heard and McDonald Islands"
"MAR","score",95,0,"Falkland Islands"
"MAR","score",96,,"Sierra Leone"
"MAR","score",97,,"Liberia"
"MAR","score",98,,"Togo"
